,product_type,product_package_name_ar,product_package_name_en,product_duration,product_package_descr_ar,product_package_descr_en,product_package_validity,value_proposition_ar,value_proposition_en,frequency,label_ar,label_en,product_quantity,roles,price,discounted_price,cat_arabic_name,cat_english_name,product_package_id,product_package_offer_id,l2,l1,priority_for_l2,priority_for_l1
0,featured_ad,3 اعلانات ممنيزة لمدة 14 يوم,3 - Featured Ads for 14 days,"14 days, 0:00:00",اشتري 3 اعلانات مميزة يمكن استعماله على اعلانات مختلفة بسعر مخفض,Buy 3 Featured Ads that can be used on different Ads at a discounted price,30 days,,,,,,3,"{public,multiple}",102.0,77.0,عقارات تجارية للإيجار,Commercials For Rent,1268,5053,Commercials For Rent,Properties,4,2.0
1,featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",23.0,21.85,دراجات نارية ورباعية,Motorcycles & ATVs,788,5594,Motorcycles & ATVs,Vehicles,6,1.0
2,featured_ad,باقة Turbo 14 يوما,Turbo Bundle - 14 Days,"14 days, 0:00:00",إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,,الأكثر مبيعا,Best Selling,1,"{public,single}",11.0,6.6,المكياج ومستحضرات التجميل,Make-up & Cosmetics,1263,5505,Make-up & Cosmetics,Fashion & Beauty,5,13.0
3,featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",29.0,,غرف للإيجار,Rooms for Rent,788,5824,Rooms for Rent,Properties,10,2.0
4,featured_ad,إعلان صالح لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"Place 1 Ad for 30 days, Featured for the first 14 days","14 days, 0:00:00",إعلان صالح لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"Place 1 Ad for 30 days, Featured for the first 14 days",30 days,,,,,,1,"{public,single}",74.5,67.0,عقارات تجارية للبيع,Commercials For Sale,1271,4605,Commercials For Sale,Properties,3,2.0
5,featured_ad,باقة Turbo 14 يوما,Turbo Bundle - 14 Days,"14 days, 0:00:00",إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,,🔥,🔥,1,"{public,single}",66.0,,شقق وفلل للبيع,Apartments & Villas For Sale,1263,4581,Apartments & Villas For Sale,Properties,1,2.0
6,featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",19.0,11.4,ساعات,Watches,788,5496,Watches,Fashion & Beauty,7,13.0
7,featured_ad,3 اعلانات ممنيزة لمدة 14 يوم,3 - Featured Ads for 14 days,"14 days, 0:00:00",اشتري 3 اعلانات مميزة يمكن استعماله على اعلانات مختلفة بسعر مخفض,Buy 3 Featured Ads that can be used on different Ads at a discounted price,30 days,,,,,,3,"{public,multiple}",71.4,59.0,وظائف شاغرة,Jobs Available,1268,5696,Jobs Available,Jobs,2,12.0
8,featured_ad,باقة Turbo 14 يوما,Turbo Bundle - 14 Days,"14 days, 0:00:00",إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,,الأكثر مبيعا,Best Selling,1,"{public,single}",11.0,6.6,ملابس للرجال,Clothing for Men,1263,5501,Clothing for Men,Fashion & Beauty,1,13.0
9,featured_ad,إعلان صالح لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"Place 1 Ad for 30 days, Featured for the first 14 days","14 days, 0:00:00",إعلان صالح لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"Place 1 Ad for 30 days, Featured for the first 14 days",30 days,,,,,,1,"{public,single}",48.0,44.0,شقق وفلل للإيجار,Apartments & Villas For Rent,1271,5784,Apartments & Villas For Rent,Properties,2,2.0
